title,genres,director,cast,keywords,description,movieId,release_year
Secrets of the Symphony II,Mystery|Fantasy,Rian Johnson,"Amy Adams, Jake Gyllenhaal, Daniel Craig","detective, murder mystery, conspiracy, twist ending","In this spectacular tale, a main protagonist falls in love with a post-apocalyptic wasteland that threatens to change everything they know.",805,1982
Chronicles of Pharaoh II,Adventure|Horror|Drama,Steven Spielberg,"Tom Hanks, Sam Neill, Daniel Radcliffe","survival, wilderness, journey, exploration","In this futuristic tale, a main protagonist falls in love with a hidden empire that threatens to change everything they know.",806,2004
Curse of the Deep Sea II,Horror|Romance,John Carpenter,"Jamie Lee Curtis, Patrick Wilson, Lupita Nyong'o","zombie, haunted house, slasher, survival horror","In this breathtaking tale, a main protagonist travels to a secret agent that threatens to change everything they know.",807,1998
Love in Haunting II,Romance,Rob Reiner,"Rachel McAdams, Leonardo DiCaprio, Ryan Gosling","relationship, star-crossed lovers, love story, forbidden love","In this haunting tale, a main protagonist escapes from a deadly conspiracy that threatens to change everything they know.",808,1975
The Pharaoh Project II,Sci-Fi,Denis Villeneuve,"Keanu Reeves, Matthew McConaughey, Mark Hamill","dystopia, alien, time travel, cyborg","In this dangerous tale, a main protagonist falls in love with a digital virtual world that threatens to change everything they know.",809,2019
The Last Pharaoh II,Adventure,Ridley Scott,"Sam Neill, Ian McKellen, Harrison Ford","quest, journey, island, wilderness","In this dangerous tale, a main protagonist uncovers a forbidden romance that threatens to change everything they know.",810,1986
Return of the Empire II,Fantasy|Thriller|Sci-Fi,David Yates,"Orlando Bloom, Emma Watson, Daniel Radcliffe","magic, mythology, elves, alternate realm","In this futuristic tale, a main protagonist investigates a hidden empire that threatens to change everything they know.",811,2021
Chasing Paris II,Comedy,Judd Apatow,"Emma Stone, Steve Carell, Seth Rogen","parody, coming of age, satire, buddy road trip","In this haunting tale, a main protagonist discovers a hidden empire that threatens to change everything they know.",812,2015
Love in Dimension II,Romance,Rob Reiner,"Leonardo DiCaprio, Julia Roberts, Julie Delpy","love story, destiny, relationship, second chance","In this unforgettable tale, a main protagonist falls in love with a secret agent that threatens to change everything they know.",813,2007
The Revenge Project II,Sci-Fi,Christopher Nolan,"Matthew McConaughey, Ryan Gosling, Mark Hamill","alien, simulation, space travel, artificial intelligence","In this gripping tale, a main protagonist investigates a secret agent that threatens to change everything they know.",814,2002
The Love Escape II,Action,James Cameron,"Scarlett Johansson, Hugh Jackman, Christian Bale","rescue, car chase, martial arts, heist","In this dangerous tale, a main protagonist travels to a hidden empire that threatens to change everything they know.",815,2021
The Haunting Syndicate II,Crime|Horror,Independent Director,"Actor Beta, Actor Alpha","movie, story","In this haunting tale, a main protagonist discovers their deepest fears that threatens to change everything they know.",816,1986
Secrets of the Time II,Mystery|Fantasy,Christopher Nolan,"Jake Gyllenhaal, Hugh Jackman, Robert Downey Jr.","puzzle, disappearance, murder mystery, detective","In this spectacular tale, a main protagonist battles a mysterious artifact that threatens to change everything they know.",817,2001
Chronicles of Dreamer II,Adventure|Action|Romance,Peter Jackson,"Ian McKellen, Johnny Depp, Sam Neill","exploration, ancient, wilderness, treasure hunt","In this haunting tale, a main protagonist discovers a hidden empire that threatens to change everything they know.",818,2012
Beyond the Shadows II,Sci-Fi|Thriller|Horror,Denis Villeneuve,"Carrie Fisher, Sigourney Weaver, Sandra Bullock","alien, space travel, simulation, future","In this spectacular tale, a main protagonist investigates a digital virtual world that threatens to change everything they know.",819,1976
Hearts in Deep Sea,Romance|Horror,James Cameron,"Rachel McAdams, Kate Winslet, Leonardo DiCaprio","secret crush, destiny, forbidden love, star-crossed lovers","In this unforgettable tale, a main protagonist discovers a hidden empire that threatens to change everything they know.",820,1989
Chasing Dimension,Comedy,Edgar Wright,"Will Ferrell, Jim Carrey, Ryan Reynolds","high school, coming of age, parody, slapstick","In this mysterious tale, a main protagonist discovers a deadly conspiracy that threatens to change everything they know.",821,2019
Shadow of the Symphony II,Thriller|Romance|Mystery,David Fincher,"Christian Bale, Morgan Freeman, Edward Norton","hostage, corruption, kidnapping, conspiracy","In this haunting tale, a main protagonist discovers a post-apocalyptic wasteland that threatens to change everything they know.",822,2005
The Symphony Project II,Sci-Fi|Comedy,Christopher Nolan,"Ryan Gosling, Sandra Bullock, Mark Hamill","future, cyborg, time travel, space travel","In this breathtaking tale, a main protagonist escapes from a deadly conspiracy that threatens to change everything they know.",823,1995
Whispers of the Wilderness,Thriller|Horror|Drama,Christopher Nolan,"Morgan Freeman, Brad Pitt, Edward Norton","hostage, ticking clock, psychological, conspiracy","In this dangerous tale, a main protagonist investigates a mysterious artifact that threatens to change everything they know.",824,1984
The Dreamer Escape II,Action,Michael Bay,"Hugh Jackman, Robert Downey Jr., Tom Cruise","car chase, superhero, fight, heist","In this mysterious tale, a main protagonist falls in love with a forbidden romance that threatens to change everything they know.",825,1989
Whispers of the Cyborg II,Thriller|Sci-Fi,Christopher Nolan,"Christian Bale, Morgan Freeman, Jake Gyllenhaal","conspiracy, serial killer, corruption, kidnapping","In this breathtaking tale, a main protagonist confronts a post-apocalyptic wasteland that threatens to change everything they know.",826,1995
Secrets of the Wilderness II,Mystery|Adventure,Rian Johnson,"Robert Downey Jr., Daniel Craig, Christian Bale","murder mystery, disappearance, twist ending, detective","In this spectacular tale, a main protagonist escapes from a hidden empire that threatens to change everything they know.",827,2009
Return of the Dreamer II,Fantasy|Mystery,David Yates,"Ian McKellen, Elijah Wood, Daniel Radcliffe","magic, prophecy, mythology, dark lord","In this spectacular tale, a main protagonist escapes from a post-apocalyptic wasteland that threatens to change everything they know.",828,2021
Whispers of the AI II,Thriller|Adventure|Romance,Christopher Nolan,"Jake Gyllenhaal, Christian Bale, Brad Pitt","kidnapping, corruption, psychological, hostage","In this gripping tale, a main protagonist escapes from a hidden empire that threatens to change everything they know.",829,2006
Hearts in Cyborg II,Romance|Mystery|Drama,James Cameron,"Kate Winslet, Hugh Grant, Julia Roberts","relationship, secret crush, destiny, forbidden love","In this spectacular tale, a main protagonist travels to a forbidden romance that threatens to change everything they know.",830,2000
The Empire Syndicate II,Crime,Independent Director,"Actor Alpha, Actor Beta","movie, story","In this breathtaking tale, a main protagonist travels to a secret agent that threatens to change everything they know.",831,2006
Return of the Dimension II,Fantasy,Guillermo del Toro,"Daniel Radcliffe, Ian McKellen, Emma Watson","dragons, prophecy, wizards, elves","In this breathtaking tale, a main protagonist navigates a deadly conspiracy that threatens to change everything they know.",832,2002
Hearts in Paris,Romance|Thriller|Mystery,Rob Reiner,"Kate Winslet, Rachel McAdams, Leonardo DiCaprio","love story, star-crossed lovers, second chance, secret crush","In this breathtaking tale, a main protagonist discovers a post-apocalyptic wasteland that threatens to change everything they know.",833,2011
Shadow of the Algorithm II,Thriller,Christopher Nolan,"Ben Affleck, Christian Bale, Jodie Foster","hostage, corruption, serial killer, ticking clock","In this haunting tale, a main protagonist escapes from a hidden empire that threatens to change everything they know.",834,1998
Shadow of the Wilderness II,Thriller,Denis Villeneuve,"Brad Pitt, Christian Bale, Edward Norton","hostage, ticking clock, conspiracy, psychological","In this spectacular tale, a main protagonist falls in love with a post-apocalyptic wasteland that threatens to change everything they know.",835,1987
Chronicles of Wilderness II,Adventure,George Lucas,"Daniel Radcliffe, Tom Hanks, Ian McKellen","quest, wilderness, ancient, island","In this unforgettable tale, a main protagonist uncovers a post-apocalyptic wasteland that threatens to change everything they know.",836,1995
The Last Shadows II,Adventure|Fantasy,Ridley Scott,"Tom Hanks, Sam Neill, Johnny Depp","ancient, survival, island, wilderness","In this spectacular tale, a main protagonist confronts their deepest fears that threatens to change everything they know.",837,2008
Shadow of the Symphony II,Thriller,Alfred Hitchcock,"Christian Bale, Brad Pitt, Jodie Foster","hostage, corruption, serial killer, conspiracy","In this futuristic tale, a main protagonist falls in love with a digital virtual world that threatens to change everything they know.",838,1978
Curse of the Symphony II,Horror|Action|Fantasy,James Wan,"Lupita Nyong'o, Florence Pugh, Patrick Wilson","possession, haunted house, ghost, monster","In this gripping tale, a main protagonist uncovers a deadly conspiracy that threatens to change everything they know.",839,2007
Chronicles of Empire II,Adventure|Comedy|Fantasy,Peter Jackson,"Sam Neill, Johnny Depp, Tom Hanks","island, treasure hunt, exploration, quest","In this unforgettable tale, a main protagonist discovers their deepest fears that threatens to change everything they know.",840,1997
Shadow of the Artifact II,Thriller|Action|Mystery,David Fincher,"Leonardo DiCaprio, Ben Affleck, Morgan Freeman","conspiracy, ticking clock, hostage, kidnapping","In this dangerous tale, a main protagonist falls in love with a post-apocalyptic wasteland that threatens to change everything they know.",841,1994
Dreamer Night II,Horror|Romance|Mystery,Wes Craven,"Toni Collette, Vera Farmiga, Jamie Lee Curtis","monster, ghost, survival horror, possession","In this spectacular tale, a main protagonist discovers a post-apocalyptic wasteland that threatens to change everything they know.",842,1995
The Last Cyborg II,Adventure,Peter Jackson,"Emma Watson, Tom Hanks, Harrison Ford","treasure hunt, journey, survival, ancient","In this dangerous tale, a main protagonist navigates their deepest fears that threatens to change everything they know.",843,1984
Hearts in AI,Romance|Action,Rob Reiner,"Julie Delpy, Ethan Hawke, Julia Roberts","star-crossed lovers, secret crush, forbidden love, love story","In this dangerous tale, a main protagonist travels to their deepest fears that threatens to change everything they know.",844,1977
The Artifact Project II,Sci-Fi,James Cameron,"Mark Hamill, Matt Damon, Sandra Bullock","cyborg, space travel, dystopia, simulation","In this haunting tale, a main protagonist escapes from a digital virtual world that threatens to change everything they know.",845,2002
Whispers of the Deep Sea II,Thriller,Alfred Hitchcock,"Leonardo DiCaprio, Jake Gyllenhaal, Morgan Freeman","psychological, serial killer, corruption, hostage","In this futuristic tale, a main protagonist investigates their deepest fears that threatens to change everything they know.",846,2015
The Shadows Heist II,Action|Drama|Sci-Fi,George Miller,"Christian Bale, Charlize Theron, Tom Cruise","car chase, revenge, martial arts, explosion","In this dangerous tale, a main protagonist battles a post-apocalyptic wasteland that threatens to change everything they know.",847,1981
The Last Pharaoh II,Adventure,George Lucas,"Tom Hanks, Elijah Wood, Ian McKellen","quest, wilderness, survival, ancient","In this dangerous tale, a main protagonist investigates a deadly conspiracy that threatens to change everything they know.",848,1976
The Symphony Project II,Sci-Fi|Horror,Denis Villeneuve,"Carrie Fisher, Mark Hamill, Matthew McConaughey","time travel, artificial intelligence, dystopia, space travel","In this spectacular tale, a main protagonist investigates a hidden empire that threatens to change everything they know.",849,1991
The Symphony Project II,Sci-Fi|Mystery,Lana Wachowski,"Sigourney Weaver, Matt Damon, Keanu Reeves","dystopia, artificial intelligence, simulation, time travel","In this breathtaking tale, a main protagonist navigates a hidden empire that threatens to change everything they know.",850,2004
How to Love,Comedy,Todd Phillips,"Ryan Reynolds, Seth Rogen, Steve Carell","misunderstanding, parody, coming of age, buddy road trip","In this unforgettable tale, a main protagonist falls in love with a secret agent that threatens to change everything they know.",851,2012
The Dreamer Syndicate,Crime|Fantasy|Action,Independent Director,"Actor Beta, Actor Alpha","story, movie","In this unforgettable tale, a main protagonist escapes from a mysterious artifact that threatens to change everything they know.",852,1985
Curse of the Pharaoh II,Horror|Thriller|Comedy,Wes Craven,"Florence Pugh, Ethan Hawke, Patrick Wilson","haunted house, ghost, survival horror, slasher","In this futuristic tale, a main protagonist investigates a deadly conspiracy that threatens to change everything they know.",853,2001
Shadow of the Pharaoh II,Thriller|Comedy,Christopher Nolan,"Jake Gyllenhaal, Jodie Foster, Ben Affleck","kidnapping, ticking clock, corruption, serial killer","In this unforgettable tale, a main protagonist escapes from a forbidden romance that threatens to change everything they know.",854,1999
Hearts in Wilderness II,Romance|Horror|Sci-Fi,James Cameron,"Kate Winslet, Leonardo DiCaprio, Ryan Gosling","love story, forbidden love, destiny, second chance","In this futuristic tale, a main protagonist escapes from a post-apocalyptic wasteland that threatens to change everything they know.",855,2003
Love Night II,Horror|Adventure|Mystery,Ari Aster,"Vera Farmiga, Florence Pugh, Patrick Wilson","ghost, slasher, curse, possession","In this breathtaking tale, a main protagonist investigates a digital virtual world that threatens to change everything they know.",856,2007
How to Paris II,Comedy|Thriller,Judd Apatow,"Emma Stone, Ryan Reynolds, Seth Rogen","slapstick, high school, coming of age, satire","In this unforgettable tale, a main protagonist discovers a forbidden romance that threatens to change everything they know.",857,1982
The Revenge Equation II,Sci-Fi|Adventure|Comedy,Denis Villeneuve,"Sandra Bullock, Carrie Fisher, Matthew McConaughey","future, time travel, simulation, artificial intelligence","In this spectacular tale, a main protagonist investigates a deadly conspiracy that threatens to change everything they know.",858,2012
How to High School II,Comedy|Mystery,Adam McKay,"Ben Stiller, Paul Rudd, Seth Rogen","satire, buddy road trip, parody, slapstick","In this dangerous tale, a main protagonist navigates a secret agent that threatens to change everything they know.",859,2015
Hearts in AI II,Romance|Mystery|Drama,James Cameron,"Rachel McAdams, Julie Delpy, Leonardo DiCaprio","star-crossed lovers, second chance, forbidden love, relationship","In this dangerous tale, a main protagonist uncovers a deadly conspiracy that threatens to change everything they know.",860,2020
Chronicles of Algorithm II,Adventure|Drama|Mystery,Ridley Scott,"Daniel Radcliffe, Emma Watson, Sam Neill","survival, journey, treasure hunt, exploration","In this gripping tale, a main protagonist investigates their deepest fears that threatens to change everything they know.",861,2011
Beyond the Destiny II,Sci-Fi|Action,James Cameron,"Sandra Bullock, Sigourney Weaver, Zoe Saldana","alien, space travel, artificial intelligence, time travel","In this haunting tale, a main protagonist battles a hidden empire that threatens to change everything they know.",862,1989
Curse of the Algorithm II,Horror|Action|Thriller,Wes Craven,"Vera Farmiga, Florence Pugh, Jamie Lee Curtis","monster, curse, slasher, ghost","In this breathtaking tale, a main protagonist navigates a post-apocalyptic wasteland that threatens to change everything they know.",863,2003
Curse of the Artifact,Horror|Drama,James Wan,"Toni Collette, Jamie Lee Curtis, Vera Farmiga","ghost, monster, slasher, zombie","In this spectacular tale, a main protagonist investigates a hidden empire that threatens to change everything they know.",864,1990
Tales of Empire II,Fantasy,David Yates,"Ian McKellen, Elijah Wood, Orlando Bloom","dragons, wizards, elves, magic","In this mysterious tale, a main protagonist falls in love with a post-apocalyptic wasteland that threatens to change everything they know.",865,2016
The Algorithm Equation II,Sci-Fi|Adventure,Ridley Scott,"Matt Damon, Mark Hamill, Keanu Reeves","simulation, future, space travel, time travel","In this mysterious tale, a main protagonist battles a digital virtual world that threatens to change everything they know.",866,1983
The Algorithm Escape,Action|Thriller|Romance,James Cameron,"Charlize Theron, Scarlett Johansson, Leonardo DiCaprio","martial arts, car chase, revenge, explosion","In this breathtaking tale, a main protagonist travels to a secret agent that threatens to change everything they know.",867,2003
Secrets of the Wilderness II,Mystery,Christopher Nolan,"Amy Adams, Hugh Jackman, Robert Downey Jr.","conspiracy, disappearance, twist ending, puzzle","In this gripping tale, a main protagonist confronts a hidden empire that threatens to change everything they know.",868,1988
Beyond the Algorithm II,Sci-Fi|Comedy,Christopher Nolan,"Mark Hamill, Matthew McConaughey, Keanu Reeves","space travel, artificial intelligence, time travel, cyborg","In this unforgettable tale, a main protagonist uncovers a digital virtual world that threatens to change everything they know.",869,2004
Chronicles of Dimension II,Adventure|Fantasy|Comedy,Ridley Scott,"Elijah Wood, Daniel Radcliffe, Orlando Bloom","wilderness, treasure hunt, ancient, survival","In this haunting tale, a main protagonist escapes from a secret agent that threatens to change everything they know.",870,1981
Diary of a High School II,Drama|Sci-Fi|Romance,Martin Scorsese,"Al Pacino, Robert De Niro, Kate Winslet","family struggle, tragedy, mental illness, ambition","In this unforgettable tale, a main protagonist investigates their deepest fears that threatens to change everything they know.",871,1996
The Deep Sea Equation II,Sci-Fi,Denis Villeneuve,"Carrie Fisher, Sigourney Weaver, Mark Hamill","simulation, dystopia, time travel, future","In this spectacular tale, a main protagonist uncovers a secret agent that threatens to change everything they know.",872,2003
Return of the Destiny II,Fantasy|Drama,David Yates,"Johnny Depp, Emma Watson, Elijah Wood","mythology, magic, dragons, elves","In this gripping tale, a main protagonist confronts a secret agent that threatens to change everything they know.",873,1993
Return of the Destiny II,Fantasy,David Yates,"Daniel Radcliffe, Viggo Mortensen, Emma Watson","prophecy, dark lord, alternate realm, elves","In this dangerous tale, a main protagonist investigates a forbidden romance that threatens to change everything they know.",874,2014
Hearts in Destiny II,Romance|Fantasy|Sci-Fi,James Cameron,"Ryan Gosling, Rachel McAdams, Leonardo DiCaprio","second chance, forbidden love, secret crush, love story","In this futuristic tale, a main protagonist falls in love with a forbidden romance that threatens to change everything they know.",875,1993
Love in Algorithm,Romance|Fantasy|Drama,Rob Reiner,"Julia Roberts, Leonardo DiCaprio, Hugh Grant","destiny, star-crossed lovers, relationship, secret crush","In this breathtaking tale, a main protagonist travels to a mysterious artifact that threatens to change everything they know.",876,2022
The Last Algorithm II,Adventure,George Lucas,"Daniel Radcliffe, Emma Watson, Sam Neill","exploration, journey, quest, wilderness","In this mysterious tale, a main protagonist battles a mysterious artifact that threatens to change everything they know.",877,2016
The Haunting Equation II,Sci-Fi,Denis Villeneuve,"Zoe Saldana, Ryan Gosling, Matt Damon","simulation, dystopia, cyborg, future","In this mysterious tale, a main protagonist falls in love with a secret agent that threatens to change everything they know.",878,1977
The Cyborg Heist,Action,John Woo,"Chris Hemsworth, Leonardo DiCaprio, Robert Downey Jr.","car chase, explosion, superhero, rescue","In this breathtaking tale, a main protagonist discovers a mysterious artifact that threatens to change everything they know.",879,1980
Return of the Pharaoh II,Fantasy|Drama,Chris Columbus,"Johnny Depp, Elijah Wood, Emma Watson","mythology, magic, dragons, elves","In this spectacular tale, a main protagonist escapes from a mysterious artifact that threatens to change everything they know.",880,1976
The Time Syndicate II,Crime|Adventure,Independent Director,"Actor Beta, Actor Alpha","movie, story","In this dangerous tale, a main protagonist travels to a hidden empire that threatens to change everything they know.",881,1976
The Love Heist II,Action|Mystery,George Miller,"Chris Hemsworth, Keanu Reeves, Robert Downey Jr.","heist, martial arts, explosion, superhero","In this breathtaking tale, a main protagonist falls in love with their deepest fears that threatens to change everything they know.",882,2008
Diary of a Galaxies,Drama|Mystery|Adventure,Frank Darabont,"Morgan Freeman, Brad Pitt, Tim Robbins","tragedy, hope, friendship, family struggle","In this spectacular tale, a main protagonist falls in love with a forbidden romance that threatens to change everything they know.",883,2024
Shadow of the Galaxies II,Thriller,David Fincher,"Ben Affleck, Morgan Freeman, Brad Pitt","corruption, kidnapping, hostage, psychological","In this dangerous tale, a main protagonist travels to a hidden empire that threatens to change everything they know.",884,2024
Tales of Love II,Fantasy,David Yates,"Emma Watson, Viggo Mortensen, Daniel Radcliffe","wizards, magic, prophecy, dark lord","In this futuristic tale, a main protagonist investigates a hidden empire that threatens to change everything they know.",885,2019
The Deep Sea Syndicate II,Crime|Thriller,Independent Director,"Actor Beta, Actor Alpha","story, movie","In this haunting tale, a main protagonist travels to a post-apocalyptic wasteland that threatens to change everything they know.",886,1998
Shadow of the Symphony II,Thriller|Fantasy|Adventure,Christopher Nolan,"Leonardo DiCaprio, Jodie Foster, Christian Bale","conspiracy, psychological, hostage, corruption","In this futuristic tale, a main protagonist falls in love with a digital virtual world that threatens to change everything they know.",887,2007
Chronicles of Wilderness II,Adventure|Mystery,Ridley Scott,"Harrison Ford, Orlando Bloom, Johnny Depp","quest, journey, survival, wilderness","In this futuristic tale, a main protagonist discovers a hidden empire that threatens to change everything they know.",888,2020
Hearts in Love II,Romance,Marc Webb,"Kate Winslet, Rachel McAdams, Ryan Gosling","relationship, second chance, star-crossed lovers, destiny","In this mysterious tale, a main protagonist confronts a digital virtual world that threatens to change everything they know.",889,1985
Chronicles of Wilderness II,Adventure,Ridley Scott,"Ian McKellen, Sam Neill, Daniel Radcliffe","ancient, quest, journey, wilderness","In this haunting tale, a main protagonist travels to a mysterious artifact that threatens to change everything they know.",890,2000
Symphony Night II,Horror|Romance|Fantasy,John Carpenter,"Florence Pugh, Toni Collette, Patrick Wilson","zombie, possession, haunted house, survival horror","In this haunting tale, a main protagonist battles their deepest fears that threatens to change everything they know.",891,1994
The Last Symphony II,Adventure|Drama|Horror,Peter Jackson,"Tom Hanks, Emma Watson, Ian McKellen","treasure hunt, exploration, ancient, quest","In this unforgettable tale, a main protagonist battles a hidden empire that threatens to change everything they know.",892,1981
Love in Paris II,Romance|Thriller|Adventure,Rob Reiner,"Ryan Gosling, Ethan Hawke, Julia Roberts","forbidden love, second chance, secret crush, star-crossed lovers","In this mysterious tale, a main protagonist travels to a post-apocalyptic wasteland that threatens to change everything they know.",893,1999
Chronicles of Dimension II,Adventure|Comedy,George Lucas,"Elijah Wood, Emma Watson, Orlando Bloom","journey, exploration, wilderness, quest","In this spectacular tale, a main protagonist escapes from a post-apocalyptic wasteland that threatens to change everything they know.",894,1983
Secrets of the Destiny II,Mystery|Adventure,David Fincher,"Hugh Jackman, Leonardo DiCaprio, Jake Gyllenhaal","detective, secret identity, disappearance, murder mystery","In this breathtaking tale, a main protagonist navigates a forbidden romance that threatens to change everything they know.",895,1989
Beyond the Empire II,Sci-Fi,Christopher Nolan,"Keanu Reeves, Matthew McConaughey, Carrie Fisher","cyborg, space travel, future, time travel","In this futuristic tale, a main protagonist navigates a post-apocalyptic wasteland that threatens to change everything they know.",896,1985
Return of the Wilderness,Fantasy|Comedy,Peter Jackson,"Johnny Depp, Elijah Wood, Ian McKellen","mythology, prophecy, elves, alternate realm","In this futuristic tale, a main protagonist uncovers a secret agent that threatens to change everything they know.",897,2004
Love in Empire II,Romance,Marc Webb,"Rachel McAdams, Leonardo DiCaprio, Hugh Grant","destiny, secret crush, love story, relationship","In this haunting tale, a main protagonist falls in love with a mysterious artifact that threatens to change everything they know.",898,2013
Tales of Shadows II,Fantasy|Comedy|Adventure,Guillermo del Toro,"Daniel Radcliffe, Johnny Depp, Elijah Wood","alternate realm, elves, wizards, magic","In this haunting tale, a main protagonist discovers a mysterious artifact that threatens to change everything they know.",899,2000
The Dreamer Heist,Action,James Cameron,"Scarlett Johansson, Chris Hemsworth, Robert Downey Jr.","fight, explosion, rescue, revenge","In this futuristic tale, a main protagonist escapes from their deepest fears that threatens to change everything they know.",900,2023
The Love Escape II,Action|Adventure,Michael Bay,"Charlize Theron, Christian Bale, Hugh Jackman","rescue, superhero, martial arts, fight","In this unforgettable tale, a main protagonist navigates a hidden empire that threatens to change everything they know.",901,1975
The Pharaoh Syndicate II,Crime|Horror,Independent Director,"Actor Beta, Actor Alpha","movie, story","In this mysterious tale, a main protagonist battles a deadly conspiracy that threatens to change everything they know.",902,2000
Hearts in Dimension,Romance|Horror|Action,Rob Reiner,"Ethan Hawke, Julia Roberts, Rachel McAdams","relationship, love story, destiny, secret crush","In this spectacular tale, a main protagonist navigates their deepest fears that threatens to change everything they know.",903,2000
Return of the Dimension II,Fantasy|Drama|Sci-Fi,David Yates,"Ian McKellen, Daniel Radcliffe, Elijah Wood","wizards, magic, elves, dark lord","In this mysterious tale, a main protagonist travels to a mysterious artifact that threatens to change everything they know.",904,1987
Hearts in Empire II,Romance|Adventure|Drama,Rob Reiner,"Rachel McAdams, Ethan Hawke, Hugh Grant","secret crush, star-crossed lovers, destiny, relationship","In this spectacular tale, a main protagonist escapes from a post-apocalyptic wasteland that threatens to change everything they know.",905,1993
The Artifact Equation II,Sci-Fi,Denis Villeneuve,"Keanu Reeves, Zoe Saldana, Matthew McConaughey","space travel, dystopia, artificial intelligence, alien","In this gripping tale, a main protagonist discovers a hidden empire that threatens to change everything they know.",906,1978
Chasing High School II,Comedy|Horror|Mystery,Edgar Wright,"Ben Stiller, Seth Rogen, Steve Carell","high school, slapstick, coming of age, parody","In this spectacular tale, a main protagonist escapes from a hidden empire that threatens to change everything they know.",907,1987
Hearts in Love II,Romance|Thriller|Sci-Fi,James Cameron,"Julia Roberts, Leonardo DiCaprio, Julie Delpy","relationship, love story, secret crush, destiny","In this dangerous tale, a main protagonist escapes from a forbidden romance that threatens to change everything they know.",908,2006
The Galaxies Syndicate II,Crime,Independent Director,"Actor Alpha, Actor Beta","story, movie","In this spectacular tale, a main protagonist uncovers their deepest fears that threatens to change everything they know.",909,2015
The Algorithm Escape II,Action,Christopher Nolan,"Tom Cruise, Keanu Reeves, Scarlett Johansson","revenge, fight, heist, martial arts","In this mysterious tale, a main protagonist travels to a post-apocalyptic wasteland that threatens to change everything they know.",910,2002
Beyond the Love II,Sci-Fi|Thriller,Lana Wachowski,"Sigourney Weaver, Matthew McConaughey, Ryan Gosling","dystopia, alien, space travel, time travel","In this futuristic tale, a main protagonist discovers a deadly conspiracy that threatens to change everything they know.",911,2008
Chasing Time II,Comedy|Drama|Romance,Todd Phillips,"Ryan Reynolds, Jonah Hill, Jim Carrey","slapstick, coming of age, high school, satire","In this breathtaking tale, a main protagonist discovers a deadly conspiracy that threatens to change everything they know.",912,2003
Curse of the Revenge II,Horror|Fantasy|Comedy,John Carpenter,"Florence Pugh, Patrick Wilson, Toni Collette","survival horror, monster, slasher, zombie","In this gripping tale, a main protagonist investigates a hidden empire that threatens to change everything they know.",913,1980
Diary of a Revenge II,Drama,Frank Darabont,"Kate Winslet, Joaquin Phoenix, Al Pacino","tragedy, friendship, betrayal, mental illness","In this haunting tale, a main protagonist battles a deadly conspiracy that threatens to change everything they know.",914,1996
Tales of Artifact II,Fantasy|Sci-Fi,Chris Columbus,"Daniel Radcliffe, Elijah Wood, Viggo Mortensen","wizards, prophecy, dragons, dark lord","In this breathtaking tale, a main protagonist confronts a deadly conspiracy that threatens to change everything they know.",915,1995
Curse of the Symphony II,Horror|Comedy|Mystery,Wes Craven,"Patrick Wilson, Vera Farmiga, Ethan Hawke","slasher, survival horror, curse, monster","In this spectacular tale, a main protagonist battles their deepest fears that threatens to change everything they know.",916,1992
Hearts in Artifact II,Romance|Fantasy|Thriller,James Cameron,"Ryan Gosling, Leonardo DiCaprio, Kate Winslet","star-crossed lovers, love story, forbidden love, destiny","In this futuristic tale, a main protagonist navigates a deadly conspiracy that threatens to change everything they know.",917,2006
Secrets of the Shadows II,Mystery|Sci-Fi,Christopher Nolan,"Amy Adams, Jake Gyllenhaal, Christian Bale","conspiracy, detective, disappearance, puzzle","In this unforgettable tale, a main protagonist battles a hidden empire that threatens to change everything they know.",918,1983
Return of the Shadows II,Fantasy|Comedy|Horror,Guillermo del Toro,"Johnny Depp, Emma Watson, Ian McKellen","wizards, mythology, elves, prophecy","In this gripping tale, a main protagonist travels to their deepest fears that threatens to change everything they know.",919,1990
Return of the Paris II,Fantasy,Peter Jackson,"Ian McKellen, Orlando Bloom, Emma Watson","mythology, prophecy, dragons, magic","In this mysterious tale, a main protagonist escapes from their deepest fears that threatens to change everything they know.",920,2023
Love in Love II,Romance|Horror|Thriller,Richard Linklater,"Julia Roberts, Kate Winslet, Rachel McAdams","second chance, love story, destiny, relationship","In this spectacular tale, a main protagonist travels to a hidden empire that threatens to change everything they know.",921,2004
The Last Artifact II,Adventure,Steven Spielberg,"Harrison Ford, Daniel Radcliffe, Emma Watson","exploration, survival, ancient, wilderness","In this haunting tale, a main protagonist navigates a mysterious artifact that threatens to change everything they know.",922,2012
Secrets of the Time II,Mystery|Fantasy|Romance,Rian Johnson,"Hugh Jackman, Daniel Craig, Leonardo DiCaprio","conspiracy, disappearance, murder mystery, secret identity","In this gripping tale, a main protagonist escapes from a hidden empire that threatens to change everything they know.",923,2000
Love in Love II,Romance|Mystery,Richard Linklater,"Rachel McAdams, Julia Roberts, Ethan Hawke","forbidden love, relationship, star-crossed lovers, second chance","In this mysterious tale, a main protagonist discovers their deepest fears that threatens to change everything they know.",924,2021
Shadows Night II,Horror,James Wan,"Toni Collette, Vera Farmiga, Patrick Wilson","zombie, curse, survival horror, haunted house","In this dangerous tale, a main protagonist escapes from a mysterious artifact that threatens to change everything they know.",925,1988
The Artifact Syndicate II,Crime,Independent Director,"Actor Beta, Actor Alpha","movie, story","In this gripping tale, a main protagonist navigates their deepest fears that threatens to change everything they know.",926,2017
